CaseID,Architecture,MaRamMin,PerformanceScenario,TransitionEndMach,Rocket2Mach,TOGW_t,TotalPropellant_t,MaTakeoffOpt,MaRamStartOpt,HRamStart_km,AlphaOpt,Vsep_mps,Hsep_km,Rocket1Propellant_t,RamjetFuel_t,DMRBlendFuel_t,ScramjetFuel_t,Rocket2FirstStagePropellant_t,SecondStagePropellant_t,DeltaVg1st_mps,DeltaVg2nd_mps,MinDeltaH_km,MinDeltaVeff_mps,MinSegmentMu,MinSegmentFuel_t,PhysicalPass,GAExitFlag,Generations,FuncCount,Seed,LocalPolishUsed,Status
1,DMR,2.3,LOW,6.5,7,407.942514922985,249.481499051686,1.15357663600926,2.3,14.5769146249763,0.124334370752632,2793.73200776093,46.2363661717743,62.1673330335726,30.5300740340101,8.61462046895844,12.5867851554002,62.2513216233606,73.331364736384,432.389403307832,285.314824840981,0.187475557322614,30.9850069978855,1.0020584437242,0.704825333768895,1,1,5,12300,2026082401,1,PASS
2,DMR,2.3,LOW,7,7,389.071338630399,238.105114222834,1.15357688527109,2.3,14.5769146249763,0.127548851520098,2812.03609784638,46.8008170616662,59.2914990138654,29.1177720257459,16.7030190778459,0,61.4663910509915,71.5264330543857,434.322434288265,283.776220311528,0.187475557322614,30.9850069978855,1.0020584437242,0.672220557467085,1,1,5,12300,2026082402,1,PASS
3,RAMJET_ONLY,2.3,LOW,NaN,6,460.081638682196,280.824069237804,1.15357667442194,2.3,14.5769146249763,0.159948964426981,2739.46549653399,50.8102912989202,70.1129365824099,34.4321222853437,0,0,98.3342865940994,77.9447237759508,457.736416862455,278.255780740915,0.211542687511866,30.9850069978855,1.0020584437242,0.794909047881902,1,1,5,12300,2026082403,1,PASS
4,RAMJET_ONLY,2.3,LOW,NaN,6.5,404.408655705306,247.334417134096,1.1535768267348,2.3,14.5769146249763,0.147030537563739,2792.31358260414,49.3996590232159,61.6287914894435,35.639978814624,0,0,77.1422601230835,72.9233867069446,447.689347560083,279.482694764781,0.201066842419095,30.9850069978855,1.0020584437242,0.698719702452422,1,1,5,12300,2026082404,1,PASS
5,RAMJET_ONLY,2.3,LOW,NaN,7,360.384917800567,220.791296364421,1.15357705315637,2.3,14.5769146249763,0.132868710777511,2842.32876099597,47.7349645987549,54.9199011629956,36.9585683076736,0,0,60.2153607135933,68.6974661801586,437.490009932682,281.241530156926,0.187475557322614,30.9850069978855,1.0020584437242,0.622657418990684,1,1,5,12300,2026082405,1,PASS
6,DMR,2.3,REFERENCE,6.5,7,397.533969152066,243.208078598372,1.1535768255623,2.3,14.5769146249763,0.126080958271262,2803.67753165601,46.5430604563203,60.5811417968241,28.5107735976714,8.10080366014427,11.8522677200556,61.8217572878946,72.3413345357815,433.441506287252,284.478164120321,0.187475557322614,30.9850069978855,1.00193414766964,0.647937738715029,1,1,5,12300,2026082406,1,PASS
7,DMR,2.3,REFERENCE,7,7,380.013896580696,232.641222519203,1.15357686671745,2.3,14.5769146249763,0.129168723708881,2821.2600716746,47.085260604687,57.9112148151248,27.2542501189319,15.7518120693786,0,61.0791568301171,70.6447886856503,435.291093368968,283.002885190244,0.187475557322614,30.9850069978855,1.00193414766964,0.619381902491682,1,1,5,12300,2026082407,1,PASS
8,RAMJET_ONLY,2.3,REFERENCE,NaN,6,452.710514845831,276.391577919828,1.1535767511201,2.3,14.5769146249763,0.160942393044268,2745.42633820922,50.9867202535339,68.9896297271584,32.4679848101782,0,0,97.6475719888332,77.2863913936587,458.338911912156,277.76932303562,0.211542687511866,30.9850069978855,1.00193414766964,0.737869584158148,1,1,5,12300,2026082408,1,PASS
9,RAMJET_ONLY,2.3,REFERENCE,NaN,6.5,397.20945605559,242.995010550459,1.15357642302408,2.3,14.5769146249763,0.148217995406166,2799.25716923031,49.6093166532256,60.5317057001018,33.5802877204797,0,0,76.6457267940474,72.2372903358301,448.40052092762,278.9104338862,0.201066842419095,30.9850069978855,1.00193414766964,0.647408784052175,1,1,5,12300,2026082409,1,PASS
10,RAMJET_ONLY,2.3,REFERENCE,NaN,7,353.271262099575,216.493812336322,1.15357671873685,2.3,14.5769146249763,0.134277900996316,2850.35305685538,47.9824131699462,53.8358472447173,34.7855332878249,0,0,59.893321898565,67.9791099052148,438.322595369258,280.572530155264,0.187475557322614,30.9850069978855,1.00193414766964,0.575794265075899,1,1,5,12300,2026082410,1,PASS
11,DMR,2.3,HIGH,6.5,7,388.296691232217,237.637888430456,1.15357664634516,2.3,14.5769146249763,0.127685508600904,2812.81425883064,46.824813537754,59.1734586621405,26.7364801711271,7.64437083898127,11.1986250957272,61.4336057118368,71.4513479506433,434.404314184837,283.710927517106,0.187475557322614,30.9850069978855,1.00182271933866,0.597024672222119,1,1,5,12300,2026082411,1,PASS
12,DMR,2.3,HIGH,7,7,371.955087260796,227.777617672534,1.15357689242933,2.3,14.5769146249763,0.130655469313253,2829.72598808388,47.346327613681,56.6831128080071,25.6112667211189,14.9030669200989,0,60.7287587456634,69.8514124776459,436.176941606134,282.294288804766,0.187475557322614,30.9850069978855,1.00182271933866,0.571898695022753,1,1,5,12300,2026082412,1,PASS
13,RAMJET_ONLY,2.3,HIGH,NaN,6,446.114404930222,272.424078218521,1.15357682258937,2.3,14.5769146249763,0.161850321519628,2750.8741557976,51.1479647244344,67.9844294491797,30.717565917821,0,0,97.0291971396975,76.6928857118223,458.888166077703,277.325214307948,0.211542687511866,30.9850069978855,1.00182271933866,0.685922178468104,1,1,5,12300,2026082413,1,PASS
14,RAMJET_ONLY,2.3,HIGH,NaN,6.5,390.771793694795,239.113228477678,1.15357718137617,2.3,14.5769146249763,0.14930614616171,2805.6200637799,49.8014406178409,59.5506229092755,31.7464262005271,0,0,76.198189260124,71.6179901077519,449.050293060841,278.386690370756,0.201066842419095,30.9850069978855,1.00182271933866,0.600830301091378,1,1,5,12300,2026082414,1,PASS
15,RAMJET_ONLY,2.3,HIGH,NaN,7,346.917978669549,212.654040269639,1.15357654394943,2.3,14.5769146249763,0.135571194797601,2857.71740835043,48.2095107604547,52.867661814137,32.8535202946496,0,0,59.6021502890324,67.3307078718205,439.084316501795,279.959439093776,0.187475557322614,30.9850069978855,1.00182271933866,0.533402922262667,1,1,5,12300,2026082415,1,PASS
16,DMR,2.5,LOW,6.5,7,426.516708235974,260.669231277302,1.15357728502084,2.5,15,0.121364591135406,2776.82130971045,45.7148838954787,70.6179138654777,30.0737268359478,8.90373625518828,13.0092109952178,62.9968804442792,75.0677628811912,418.130018347667,286.741045354848,0.187475557322614,30.985006997886,1.0020584437242,0.72848001841362,1,1,5,12300,2026082416,1,PASS
17,DMR,2.5,LOW,7,7,406.46042769257,248.588357923621,1.15357704206822,2.5,15,0.124579531278813,2795.12801560208,46.2794154500808,67.2972273227627,28.6595560369029,17.2497592948506,0,62.190780668496,73.1910346006084,420.076810013191,285.197291646942,0.187475557322614,30.985006997886,1.0020584437242,0.694224364787885,1,1,5,12300,2026082417,1,PASS
18,RAMJET_ONLY,2.5,LOW,NaN,6,482.08621864352,294.048758647577,1.15357688707319,2.5,15,0.157110214316494,2722.43222441991,50.3061406174441,79.8185181301604,33.9919357174606,0,0,100.359116096526,79.8791887034299,443.545440915005,279.648890688078,0.211542687511866,30.9850069978855,1.0020584437242,0.823391330660513,1,1,5,12300,2026082418,1,PASS
19,RAMJET_ONLY,2.5,LOW,NaN,6.5,422.771975885266,258.396714982419,1.15357685310727,2.5,15,0.144128992716212,2775.3469777457,48.8873620857044,69.9979216166548,35.3637717358172,0,0,78.3884522816267,74.6465693483206,433.482356873209,280.884177671218,0.201066842419095,30.9850069978855,1.0020584437242,0.722084068882566,1,1,5,12300,2026082419,1,PASS
20,RAMJET_ONLY,2.5,LOW,NaN,7,376.019357672999,230.230725302355,1.15357662049292,2.5,15,0.129900130303437,2825.42489117869,47.2136928875453,62.257147795652,36.8147953148452,0,0,60.9061593169357,70.2526228749221,423.26678988045,282.654148825262,0.187475557322614,30.985006997886,1.0020584437242,0.642231735663074,1,1,5,12300,2026082420,1,PASS
21,DMR,2.5,REFERENCE,6.5,7,415.884533711041,254.266294520273,1.15357661420967,2.5,15,0.123042403208665,2786.37520832021,46.0095014671275,68.8575852690655,28.127357551928,8.37545639976531,12.254111529214,62.5733886850472,74.0783950852529,419.147877319615,285.934724221786,0.187475557322614,30.985006997886,1.00193414766964,0.669905667146338,1,1,5,12300,2026082421,1,PASS
22,DMR,2.5,REFERENCE,7,7,397.249301537714,243.03636753334,1.15357711292788,2.5,15,0.126130180424161,2803.9578154051,46.5517036836458,65.7721478725323,26.8670097907249,16.2733161371779,0,61.8101358256543,72.3137579072508,421.010572380582,284.454608213273,0.187475557322614,30.985006997886,1.00193414766964,0.639888126172309,1,1,5,12300,2026082422,1,PASS
23,RAMJET_ONLY,2.5,REFERENCE,NaN,6,474.744411257114,289.637539321184,1.15357672202916,2.5,15,0.158037090965796,2727.99373620125,50.4707502083566,78.6029508342252,32.1082052805493,0,0,99.6876746154842,79.2387085909257,444.111901446472,279.193531568723,0.211542687511866,30.9850069978855,1.00193414766964,0.764717006907858,1,1,5,12300,2026082423,1,PASS
24,RAMJET_ONLY,2.5,REFERENCE,NaN,6.5,415.55200342851,254.048364062269,1.15357682937767,2.5,15,0.145248898572328,2781.89555829084,49.0850927328382,68.8025192258676,33.3704142913302,0,0,77.9019686494584,73.973461895613,434.157938473212,280.34271539993,0.201066842419095,30.9850069978855,1.00193414766964,0.669370046304209,1,1,5,12300,2026082424,1,PASS
25,RAMJET_ONLY,2.5,REFERENCE,NaN,7,368.84661821571,225.90107894377,1.15357624902216,2.5,15,0.131240763875633,2833.05880764987,47.4491031660899,61.0695788289748,34.6963206938444,0,0,60.5920433300853,69.5431360908656,424.064393041032,282.015642250463,0.187475557322614,30.985006997886,1.00193414766964,0.594137094621544,1,1,5,12300,2026082425,1,PASS
26,DMR,2.5,HIGH,6.5,7,406.425993194913,248.567637107757,1.15357682390047,2.5,15,0.124585115306783,2795.15981251063,46.280395984663,67.2915352990275,26.411880112424,7.90566165790545,11.5814032188354,62.1893132828233,73.1878435367411,420.080195762959,285.194614951629,0.187475557322614,30.985006997886,1.00182393030002,0.617431461584999,1,1,5,12300,2026082426,1,PASS
27,DMR,2.5,HIGH,7,7,389.032600750536,238.081767155041,1.15357676553565,2.5,15,0.127555570742454,2812.07435884721,46.8019969321687,64.4117315032436,25.2815580396803,15.4010318543994,0,61.4647076014851,71.5227381562325,421.86596950195,283.77300973914,0.187475557322614,30.985006997886,1.00182393030002,0.591007882253848,1,1,5,12300,2026082427,1,PASS
